baseline,data,individuo,n_dados_treinamento,dados_treinamento,dados_validacao,modelo_treinado,acc,loss,parametros
True,1644076407.4363163,51,2,"[4, 12]",[8],baseline_0.6667_1642520350,0.8854166716337204,0.34416753984987736,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076415.253612,51,2,"[8, 4]",[12],baseline_0.6667_1642520350,0.96875,0.08394088828936219,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076426.725353,56,2,"[8, 12]",[4],baseline_0.6667_1642520350,0.8854166716337204,0.31655746698379517,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076431.3588278,56,2,"[4, 12]",[8],baseline_0.6667_1642520350,0.8125,0.37042488902807236,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076437.8001359,56,2,"[8, 4]",[12],baseline_0.6667_1642520350,0.7552083432674408,0.6179502457380295,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076447.110453,58,2,"[8, 12]",[4],baseline_0.6667_1642520350,0.7239583432674408,0.6152983233332634,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076450.3361518,58,2,"[4, 12]",[8],baseline_0.6667_1642520350,0.7760416716337204,0.5412038341164589,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076454.8782618,58,2,"[8, 4]",[12],baseline_0.6667_1642520350,0.7760416716337204,0.52639514580369,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076461.8022134,61,2,"[8, 12]",[4],baseline_0.6667_1642520350,0.6875,0.7292543947696686,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076466.6704452,61,2,"[4, 12]",[8],baseline_0.6667_1642520350,0.7708333432674408,0.5475150346755981,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076471.0384085,61,2,"[8, 4]",[12],baseline_0.6667_1642520350,0.796875,0.5569010972976685,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076480.7248576,69,2,"[8, 12]",[4],baseline_0.6667_1642520350,0.9010416716337204,0.3530733659863472,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076488.2718177,69,2,"[4, 12]",[8],baseline_0.6667_1642520350,0.890625,0.21800739970058203,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076492.3840048,69,2,"[8, 4]",[12],baseline_0.6667_1642520350,0.8385416716337204,0.3808225877583027,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076495.2780354,72,2,"[8, 12]",[4],baseline_0.6667_1642520350,0.671875,0.6568126678466797,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076501.2942593,72,2,"[4, 12]",[8],baseline_0.6667_1642520350,0.75,0.5648452118039131,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076506.6838765,72,2,"[8, 4]",[12],baseline_0.6667_1642520350,0.8645833432674408,0.37365423887968063,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
True,1644076509.739752,74,2,"[8, 12]",[4],baseline_0.6667_1642520350,0.7552083432674408,0.594096839427948,"{'random_seed': 20220113, 'training_epochs': 50, 'batch_size': 16}"
